,DATE_OF_INTEREST,CASE_COUNT
0,02/29/2020,1
1,03/03/2020,1
2,03/04/2020,5
3,03/05/2020,3
4,03/06/2020,8
5,03/07/2020,7
6,03/08/2020,21
7,03/09/2020,57
8,03/10/2020,70
9,03/11/2020,155
10,03/12/2020,357
11,03/13/2020,619
12,03/14/2020,642
13,03/15/2020,1036
14,03/16/2020,2121
15,03/17/2020,2452
16,03/18/2020,2973
17,03/19/2020,3707
18,03/20/2020,4007
19,03/21/2020,2637
20,03/22/2020,2580
21,03/23/2020,3571
22,03/24/2020,4503
23,03/25/2020,4874
24,03/26/2020,5050
25,03/27/2020,5120
26,03/28/2020,3479
27,03/29/2020,3562
28,03/30/2020,6131
29,03/31/2020,5466
30,04/01/2020,5454
31,04/02/2020,5755
32,04/03/2020,5670
33,04/04/2020,3866
34,04/05/2020,3786
35,04/06/2020,6365
36,04/07/2020,6049
37,04/08/2020,5582
38,04/09/2020,5071
39,04/10/2020,4514
40,04/11/2020,3731
41,04/12/2020,2889
42,04/13/2020,3313
43,04/14/2020,4147
44,04/15/2020,3877
45,04/16/2020,3528
46,04/17/2020,3584
47,04/18/2020,2172
48,04/19/2020,2346
49,04/20/2020,3794
50,04/21/2020,3065
51,04/22/2020,3462
52,04/23/2020,2842
53,04/24/2020,2535
54,04/25/2020,1597
55,04/26/2020,1003
56,04/27/2020,2290
57,04/28/2020,2729
58,04/29/2020,2342
59,04/30/2020,2022
60,05/01/2020,1888
61,05/02/2020,1059
62,05/03/2020,786
63,05/04/2020,1551
64,05/05/2020,1514
65,05/06/2020,1399
66,05/07/2020,1236
67,05/08/2020,1082
68,05/09/2020,657
69,05/10/2020,458
70,05/11/2020,1232
71,05/12/2020,1285
72,05/13/2020,1335
73,05/14/2020,1112
74,05/15/2020,875
75,05/16/2020,486
76,05/17/2020,359
77,05/18/2020,898
78,05/19/2020,1004
79,05/20/2020,1080
80,05/21/2020,1070
81,05/22/2020,1046
82,05/23/2020,458
83,05/24/2020,470
84,05/25/2020,468
85,05/26/2020,1053
86,05/27/2020,745
87,05/28/2020,647
88,05/29/2020,646
89,05/30/2020,349
90,05/31/2020,230
91,06/01/2020,687
92,06/02/2020,574
93,06/03/2020,516
94,06/04/2020,523
95,06/05/2020,403
96,06/06/2020,247
97,06/07/2020,198
98,06/08/2020,451
99,06/09/2020,420
100,06/10/2020,365
101,06/11/2020,368
102,06/12/2020,410
103,06/13/2020,197
104,06/14/2020,180
105,06/15/2020,379
106,06/16/2020,420
107,06/17/2020,356
108,06/18/2020,378
109,06/19/2020,362
110,06/20/2020,203
111,06/21/2020,172
112,06/22/2020,398
113,06/23/2020,384
114,06/24/2020,381
115,06/25/2020,296
116,06/26/2020,310
117,06/27/2020,206
118,06/28/2020,203
119,06/29/2020,436
120,06/30/2020,442
121,07/01/2020,397
122,07/02/2020,418
123,07/03/2020,231
124,07/04/2020,120
125,07/05/2020,153
126,07/06/2020,434
127,07/07/2020,461
128,07/08/2020,436
129,07/09/2020,391
130,07/10/2020,308
131,07/11/2020,255
132,07/12/2020,223
133,07/13/2020,484
134,07/14/2020,401
135,07/15/2020,437
136,07/16/2020,418
137,07/17/2020,415
138,07/18/2020,217
139,07/19/2020,175
140,07/20/2020,400
141,07/21/2020,338
142,07/22/2020,329
143,07/23/2020,308
144,07/24/2020,299
145,07/25/2020,153
146,07/26/2020,140
147,07/27/2020,313
148,07/28/2020,312
149,07/29/2020,286
150,07/30/2020,269
151,07/31/2020,263
152,08/01/2020,189
153,08/02/2020,134
154,08/03/2020,345
155,08/04/2020,184
156,08/05/2020,298
157,08/06/2020,289
158,08/07/2020,252
159,08/08/2020,159
160,08/09/2020,133
161,08/10/2020,303
162,08/11/2020,258
163,08/12/2020,319
164,08/13/2020,272
165,08/14/2020,278
166,08/15/2020,149
167,08/16/2020,138
168,08/17/2020,327
169,08/18/2020,281
170,08/19/2020,255
171,08/20/2020,225
172,08/21/2020,249
173,08/22/2020,135
174,08/23/2020,150
175,08/24/2020,296
176,08/25/2020,281
177,08/26/2020,312
178,08/27/2020,264
179,08/28/2020,276
180,08/29/2020,125
181,08/30/2020,179
182,08/31/2020,308
183,09/01/2020,291
184,09/02/2020,271
185,09/03/2020,272
186,09/04/2020,227
187,09/05/2020,156
188,09/06/2020,204
189,09/07/2020,218
190,09/08/2020,387
191,09/09/2020,340
192,09/10/2020,321
193,09/11/2020,303
194,09/12/2020,198
195,09/13/2020,254
196,09/14/2020,416
197,09/15/2020,335
198,09/16/2020,355
199,09/17/2020,347
200,09/18/2020,275
201,09/19/2020,154
202,09/20/2020,156
203,09/21/2020,502
204,09/22/2020,385
205,09/23/2020,504
206,09/24/2020,457
207,09/25/2020,432
208,09/26/2020,266
209,09/27/2020,351
210,09/28/2020,411
211,09/29/2020,661
212,09/30/2020,538
213,10/01/2020,553
214,10/02/2020,521
215,10/03/2020,228
216,10/04/2020,229
217,10/05/2020,268
218,10/06/2020,28
